"
 할 일",,1/3 완료됨  
,,
✓,날짜,작업
TRUE,9월 7일,항목을 완료로 표시하려면 A열에 아무 문자나 입력합니다.
FALSE,9월 8일,(웹상의) ‘서식’ > ‘조건부 서식’에서 완료된 항목의 스타일을 변경합니다.
FALSE,9월 9일,(웹상의) 제목 이름 옆의 드롭다운 화살표를 사용하여 항목을 정렬합니다.
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
